Time,ff4_hf_orig,ff4_hf_disc_w_rhod=1,sp500_hf_orig,sp500_hf_disc_w_rhod=1
01-Feb-1990,-0.02,-0.02,-0.16664,-0.16664
01-Mar-1990,-0.02,-0.02,-0.17281,-0.17281
01-Apr-1990,0,0,0,0
01-May-1990,0,0,0.0369,0.0369
01-Jun-1990,0,0,0,0
01-Jul-1990,-0.1,-0.12,0.01864,0.00743
01-Aug-1990,0,0,0.29184,0.29184
01-Sep-1990,0,0,0,0
01-Oct-1990,-0.02999,-0.03998,-0.64155,-0.78122
01-Nov-1990,0.01,0.01,-0.00941,-0.00941
01-Dec-1990,-0.19,-0.23,0.85309,0.94165
01-Jan-1991,-0.1,-0.1,0.51814,0.51814
01-Feb-1991,-0.21,-0.41,-0.40345,-0.58372
01-Mar-1991,-0.06,-0.1,0.53704,0.93353
01-Apr-1991,-0.19,-0.19,0.94203,0.94203
01-May-1991,-0.02,-0.02,-0.23957,-0.23957
01-Jun-1991,0,0,0,0
01-Jul-1991,0.01,0.01,-0.02932,-0.02932
01-Aug-1991,-0.08,-0.19,0.61637,1.11062
01-Sep-1991,0,0,-0.04647,-0.04647
01-Oct-1991,-0.04,-0.04,-0.02066,-0.06427
01-Nov-1991,-0.12,-0.12,0,0
01-Dec-1991,-0.25,-0.26,0.01848,0.0633
01-Jan-1992,0,0,0,0
01-Feb-1992,0,0,0.03623,0.03623
01-Mar-1992,0,0,0,0
01-Apr-1992,-0.2,-0.21,0.66953,0.53755
01-May-1992,0.00999,0.00999,-0.06721,-0.06721
01-Jun-1992,0,0,0,0
01-Jul-1992,-0.3,-0.3,0.0557,0.0557
01-Aug-1992,0.01,0.01,0.02617,0.02617
01-Sep-1992,0.01,0.01,-0.0024,-0.0024
01-Oct-1992,0.01,0.01,-0.18129,-0.18129
01-Nov-1992,0,0,0.27846,0.27846
01-Dec-1992,-0.01,-0.01,-0.10212,-0.10212
01-Jan-1993,0,0,0,0
01-Feb-1993,-0.02,-0.02,-0.06245,-0.06245
01-Mar-1993,0,0,-0.09324,-0.09324
01-Apr-1993,0,0,0,0
01-May-1993,-0.02,-0.02,0.15957,0.15957
01-Jun-1993,0,0,0,0
01-Jul-1993,0,0,0.29,0.29
01-Aug-1993,0.01,0.01,-0.11818,-0.11818
01-Sep-1993,0.01,0.01,0,0
01-Oct-1993,0,0,0,0
01-Nov-1993,0,0,0.04079,0.04079
01-Dec-1993,-0.01,-0.01,0.01935,0.01935
01-Jan-1994,0,0,0,0
01-Feb-1994,0,0,-0.65986,-0.65986
01-Mar-1994,0,0,0.30084,0.30084
01-Apr-1994,0.12,0.12,-0.67892,-0.67892
01-May-1994,0.05,0.05,0.54159,0.54159
01-Jun-1994,0,0,0,0
01-Jul-1994,0,0,-0.18351,-0.18351
01-Aug-1994,0,0,0.25516,0.25516
01-Sep-1994,-0.03,-0.03,-0.19502,-0.19502
01-Oct-1994,0,0,0,0
01-Nov-1994,0.08,0.08,-0.55058,-0.55058
01-Dec-1994,-0.05,-0.05,0.0459,0.0459
01-Jan-1995,0,0,0,0
01-Feb-1995,0,0,-0.2096,-0.2096
01-Mar-1995,0.02,0.02,-0.14307,-0.14307
01-Apr-1995,0,0,0,0
01-May-1995,0,0,-0.01713,-0.01713
01-Jun-1995,0,0,0,0
01-Jul-1995,-0.15,-0.15,0.31071,0.31071
01-Aug-1995,0,0,-0.16999,-0.16999
01-Sep-1995,0.03,0.03,-0.17497,-0.17497
01-Oct-1995,0,0,0,0
01-Nov-1995,0,0,-0.06109,-0.06109
01-Dec-1995,-0.05,-0.05,0.26401,0.26401
01-Jan-1996,-0.02,-0.02,0.05067,0.05067
01-Feb-1996,0,0,0,0
01-Mar-1996,0.00999,0.00999,0.21235,0.21235
01-Apr-1996,0,0,0,0
01-May-1996,0,0,-0.21492,-0.21492
01-Jun-1996,0,0,0,0
01-Jul-1996,-0.03,-0.03,0.13861,0.13861
01-Aug-1996,0,0,-0.14401,-0.14401
01-Sep-1996,-0.13,-0.13,0.00727,0.00727
01-Oct-1996,0,0,0,0
01-Nov-1996,-0.01,-0.01,0.25763,0.25763
01-Dec-1996,-0.01,-0.01,-0.07589,-0.07589
01-Jan-1997,0,0,0,0
01-Feb-1997,0,0,-0.33607,-0.33607
01-Mar-1997,0.04,0.04,-0.66551,-0.66551
01-Apr-1997,0,0,0,0
01-May-1997,-0.09,-0.09,0.55083,0.55083
01-Jun-1997,0,0,0,0
01-Jul-1997,-0.02,-0.02,0.19237,0.19237
01-Aug-1997,0.01,0.01,-0.42781,-0.42781
01-Sep-1997,0,0,-0.20644,-0.20644
01-Oct-1997,0,0,0,0
01-Nov-1997,0,0,-0.55214,-0.55214
01-Dec-1997,-0.01,-0.01,-0.12988,-0.12988
01-Jan-1998,0,0,0,0
01-Feb-1998,0,0,-0.3372,-0.3372
01-Mar-1998,0,0,-0.01808,-0.01808
01-Apr-1998,0,0,0,0
01-May-1998,-0.01,-0.01,-0.11687,-0.11687
01-Jun-1998,0,0,0,0
01-Jul-1998,0.00999,0.00999,0.08763,0.08763
01-Aug-1998,0.01,0.01,0.16447,0.16447
01-Sep-1998,0.07,0.07,-0.75181,-0.75181
01-Oct-1998,-0.25,-0.25,2.04262,2.04262
01-Nov-1998,0,0,0.81194,0.81194
01-Dec-1998,0,0,-0.13276,-0.13276
01-Jan-1999,0,0,0,0
01-Feb-1999,0,0,0.14979,0.14979
01-Mar-1999,-0.02,-0.02,-0.20642,-0.20642
01-Apr-1999,0,0,0,0
01-May-1999,0.04,0.04,-1.43559,-1.43559
01-Jun-1999,-0.07,-0.07,1.60906,1.60906
01-Jul-1999,0,0,0,0
01-Aug-1999,0.015,0.015,0.57282,0.57282
01-Sep-1999,0,0,0,0
01-Oct-1999,0.04,0.04,-0.82928,-0.82928
01-Nov-1999,0.06001,0.06001,-0.41763,-0.41763
01-Dec-1999,-0.005,-0.005,0.47722,0.47722
01-Jan-2000,0,0,0,0
01-Feb-2000,0.005,0.005,-0.4101,-0.4101
01-Mar-2000,-0.00999,-0.00999,0.06116,0.06116
01-Apr-2000,0,0,0,0
01-May-2000,0.07,0.07,-0.5454,-0.5454
01-Jun-2000,-0.01501,-0.01501,0.25302,0.25302
01-Jul-2000,0,0,0,0
01-Aug-2000,0.005,0.005,-0.12621,-0.12621
01-Sep-2000,0,0,0,0
01-Oct-2000,0.025,0.025,-0.30266,-0.30266
01-Nov-2000,0,0,-0.66752,-0.66752
01-Dec-2000,-0.005,-0.005,-0.69114,-0.69114
01-Jan-2001,-0.11999,-0.26999,3.45211,7.52786
01-Feb-2001,0,0,0,0
01-Mar-2001,-0.075,-0.075,-0.67958,-0.67958
01-Apr-2001,-0.37,-0.37,2.22956,2.22956
01-May-2001,-0.14,-0.14,0.40882,0.40882
01-Jun-2001,0.075,0.075,-0.40319,-0.40319
01-Jul-2001,0,0,0,0
01-Aug-2001,-0.02,-0.02,-0.71223,-0.71223
01-Sep-2001,-0.045,-0.045,0,0
01-Oct-2001,-0.04,-0.04,-0.30724,-0.30724
01-Nov-2001,-0.14,-0.14,0.94037,0.94037
01-Dec-2001,-0.03,-0.03,0.22721,0.22721
01-Jan-2002,0.02,0.02,-0.12751,-0.12751
01-Feb-2002,0,0,0,0
01-Mar-2002,-0.045,-0.045,-0.38271,-0.38271
01-Apr-2002,0,0,0,0
01-May-2002,-0.02,-0.02,-0.37352,-0.37352
01-Jun-2002,-0.01,-0.01,-0.60479,-0.60479
01-Jul-2002,0,0,0,0
01-Aug-2002,-0.04,-0.04,-0.69761,-0.69761
01-Sep-2002,-0.005,-0.005,-0.9571,-0.9571
01-Oct-2002,0,0,0,0
01-Nov-2002,-0.085,-0.085,-0.92593,-0.92593
01-Dec-2002,0.01,0.01,-0.33811,-0.33811
01-Jan-2003,0.03,0.03,0.16534,0.16534
01-Feb-2003,0,0,0,0
01-Mar-2003,-0.02,-0.02,-0.50717,-0.50717
01-Apr-2003,0,0,0,0
01-May-2003,-0.04,-0.04,0.17834,0.17834
01-Jun-2003,0.105,0.105,-0.27153,-0.27153
01-Jul-2003,0,0,0,0
01-Aug-2003,0,0,-0.10492,-0.10492
01-Sep-2003,0,0,-0.18495,-0.18495
01-Oct-2003,-0.01,-0.01,-0.05012,-0.05012
01-Nov-2003,0,0,0,0
01-Dec-2003,0.005,0.005,-0.05813,-0.05813
01-Jan-2004,0.005,0.005,-0.9677,-0.9677
01-Feb-2004,0,0,0,0
01-Mar-2004,-0.005,-0.005,-0.07294,-0.07294
01-Apr-2004,0,0,0,0
01-May-2004,-0.005,-0.005,0.36567,0.36567
01-Jun-2004,-0.01,-0.01,0.28122,0.28122
01-Jul-2004,0,0,0,0
01-Aug-2004,0.03999,0.03999,-0.2991,-0.2991
01-Sep-2004,-0.01,-0.01,0.06393,0.06393
01-Oct-2004,0,0,0,0
01-Nov-2004,-0.00999,-0.00999,0.08411,0.08411
01-Dec-2004,-0.005,-0.005,0.05833,0.05833
01-Jan-2005,0,0,0,0
01-Feb-2005,0,0,0.00504,0.00504
01-Mar-2005,0.01,0.01,-0.28511,-0.28511
01-Apr-2005,0,0,0,0
01-May-2005,0.01,0.01,0.32116,0.32116
01-Jun-2005,0.015,0.015,-0.42657,-0.42657
01-Jul-2005,0,0,0,0
01-Aug-2005,-0.01,-0.01,0.23399,0.23399
01-Sep-2005,0.03,0.03,-0.12166,-0.12166
01-Oct-2005,0,0,0,0
01-Nov-2005,0,0,0.24188,0.24188
01-Dec-2005,-0.005,-0.005,0.48448,0.48448
01-Jan-2006,0.025,0.025,-0.28159,-0.28159
01-Feb-2006,0,0,0,0
01-Mar-2006,0.03,0.03,-0.64595,-0.64595
01-Apr-2006,0,0,0,0
01-May-2006,0.035,0.035,-0.15511,-0.15511
01-Jun-2006,-0.025,-0.025,0.49365,0.49365
01-Jul-2006,0,0,0,0
01-Aug-2006,-0.035,-0.035,-0.26456,-0.26456
01-Sep-2006,0,0,-0.24016,-0.24016
01-Oct-2006,-0.005,-0.005,-0.03989,-0.03989
01-Nov-2006,0,0,0,0
01-Dec-2006,-0.005,-0.005,0.28273,0.28273
01-Jan-2007,-0.005,-0.005,0.52273,0.52273
01-Feb-2007,0,0,0,0
01-Mar-2007,-0.01501,-0.01501,0.88763,0.88763
01-Apr-2007,0,0,0,0
01-May-2007,0.005,0.005,-0.1418,-0.1418
01-Jun-2007,0,0,-0.28916,-0.28916
01-Jul-2007,0,0,0,0
01-Aug-2007,-0.025,-0.01,-0.95973,-3.27086
01-Sep-2007,-0.17,-0.17,1.33054,1.33054
01-Oct-2007,0.03,0.03,-0.44209,-0.44209
01-Nov-2007,0,0,0,0
01-Dec-2007,0.03,0.03,-1.59674,-1.59674
01-Jan-2008,-0.255,-0.38,-0.16869,-1.09309
01-Feb-2008,0,0,0,0
01-Mar-2008,0.19,0.305,-1.05246,-0.97157
01-Apr-2008,-0.075,-0.075,0.31143,0.31143
01-May-2008,0,0,0,0
01-Jun-2008,0.015,0.015,0.10337,0.10337
01-Jul-2008,0,0,0,0
01-Aug-2008,-0.03,-0.03,0.10375,0.10375
01-Sep-2008,0.12,0.12,-0.76838,-0.76838
01-Oct-2008,-0.05999,-0.06998,-2.61509,-3.34986
01-Nov-2008,0,0,0,0
01-Dec-2008,-0.18501,-0.18501,1.71037,1.71037
01-Jan-2009,0,0,-0.09395,-0.09395
01-Feb-2009,0,0,0,0
01-Mar-2009,-0.01,-0.01,1.5276,1.5276
01-Apr-2009,0.005,0.005,0.75174,0.75174
01-May-2009,0,0,0,0
01-Jun-2009,0,0,-0.50384,-0.50384
01-Jul-2009,0,0,0,0
01-Aug-2009,-0.005,-0.005,-0.25911,-0.25911
01-Sep-2009,-0.015,-0.015,0.63447,0.63447
01-Oct-2009,0,0,0,0
01-Nov-2009,-0.00999,-0.00999,0.07677,0.07677
01-Dec-2009,-0.005,-0.005,-0.09519,-0.09519
01-Jan-2010,0,0,0.0819,0.0819
01-Feb-2010,0,0,0,0
01-Mar-2010,-0.01,-0.01,0.18716,0.18716
01-Apr-2010,-0.01,-0.01,0.20239,0.20239
01-May-2010,0,0,0,0
01-Jun-2010,0,0,0.34373,0.34373
01-Jul-2010,0,0,0,0
01-Aug-2010,0,0,0.69335,0.69335
01-Sep-2010,0.005,0.005,0.62964,0.62964
01-Oct-2010,0,0,0,0
01-Nov-2010,0.005,0.005,-0.48747,-0.48747
01-Dec-2010,0,0,0.00883,0.00883
01-Jan-2011,-0.005,-0.005,-0.05857,-0.05857
01-Feb-2011,0,0,0,0
01-Mar-2011,0,0,0.28501,0.28501
01-Apr-2011,-0.005,-0.005,0.14414,0.14414
01-May-2011,0,0,0,0
01-Jun-2011,-0.005,-0.005,0.09572,0.09572
01-Jul-2011,0,0,0,0
01-Aug-2011,-0.005,-0.005,-0.89025,-0.89025
01-Sep-2011,0.02,0.02,-0.26924,-0.26924
01-Oct-2011,0,0,0,0
01-Nov-2011,0.01,0.01,-0.15528,-0.15528
01-Dec-2011,0,0,-0.75199,-0.75199
01-Jan-2012,0,0,0.34102,0.34102
01-Feb-2012,0,0,0,0
01-Mar-2012,0,0,-0.05568,-0.05568
01-Apr-2012,0,0,-0.04978,-0.04978
01-May-2012,0,0,0,0
01-Jun-2012,0.01,0.01,-0.0517,-0.0517
01-Jul-2012,0,0,0,0
01-Aug-2012,0.015,0.015,-0.01087,-0.01087
01-Sep-2012,0.02,0.02,0.5984,0.5984
01-Oct-2012,-0.005,-0.005,-0.05795,-0.05795
01-Nov-2012,0,0,0,0
01-Dec-2012,0,0,0.38377,0.38377
01-Jan-2013,0,0,-0.0604,-0.0604
01-Feb-2013,0,0,0,0
01-Mar-2013,0.005,0.005,0.09572,0.09572
01-Apr-2013,0,0,0,0
01-May-2013,0,0,0.14757,0.14757
01-Jun-2013,0.005,0.005,-0.05759,-0.05759
01-Jul-2013,0,0,0.46186,0.46186
01-Aug-2013,0,0,0,0
01-Sep-2013,0,0,1.21777,1.21777
01-Oct-2013,0,0,-0.33014,-0.33014
01-Nov-2013,0,0,0,0
01-Dec-2013,0.005,0.005,1.6648,1.6648
01-Jan-2014,0,0,-0.45282,-0.45282
01-Feb-2014,0,0,0,0
01-Mar-2014,0,0,-0.17357,-0.17357
01-Apr-2014,0,0,0.02448,0.02448
01-May-2014,0,0,0,0
01-Jun-2014,0,0,0.33186,0.33186
01-Jul-2014,0,0,0.40578,0.40578
01-Aug-2014,0,0,0,0
01-Sep-2014,0,0,0.27313,0.27313
01-Oct-2014,0.01,0.01,-0.35665,-0.35665
01-Nov-2014,0,0,0,0
01-Dec-2014,-0.005,-0.005,0.79783,0.79783
01-Jan-2015,0,0,-0.19384,-0.19384
01-Feb-2015,0,0,0,0
01-Mar-2015,-0.02,-0.02,1.49382,1.49382
01-Apr-2015,0,0,0.09926,0.09926
01-May-2015,0,0,0,0
01-Jun-2015,-0.02,-0.02,0.35392,0.35392
01-Jul-2015,0,0,0.16123,0.16123
01-Aug-2015,0,0,0,0
01-Sep-2015,-0.06499,-0.06499,0.15194,0.15194
01-Oct-2015,0.035,0.035,-0.70941,-0.70941
01-Nov-2015,0,0,0,0
01-Dec-2015,0.02,0.02,0.09938,0.09938
01-Jan-2016,-0.005,-0.005,-0.3674,-0.3674
01-Feb-2016,0,0,0,0
01-Mar-2016,-0.055,-0.055,0.24853,0.24853
01-Apr-2016,-0.005,-0.005,0.23738,0.23738
01-May-2016,0,0,0,0
01-Jun-2016,-0.02,-0.02,-0.0389,-0.0389
01-Jul-2016,-0.005,-0.005,0.17277,0.17277
01-Aug-2016,0,0,0,0
01-Sep-2016,-0.005,-0.005,0.28085,0.28085
01-Oct-2016,0,0,0,0
01-Nov-2016,0,0,0.08383,0.08383
01-Dec-2016,0.01,0.01,-0.15587,-0.15587
